Class combination;Number of classes;mean_good_accuracy;clsCoef;density;f1;f2;f3;f4;hubs;l1;l2;l3;lsc;n1;n2;n4;t1;t2;t3;t4;sum_measures;mean_measures
(1, 2, 4, 5, 6);5;0,8019999999999999;0,8757419403810475;0,7172833836424282;0,9568827933780459;0,7613531492459906;0,9102335909302812;0,9606521298701152;0,5892165187906853;0,9102973713059817;0,906180418100425;0,9292012416767542;0,2856067103479143;0,976473942628111;0,8388243727055182;0,9654226175442531;0,8232728700037802;0,6502471836406458;0,7039198003448459;0,6649763202064384;5,023;0,279
(1, 2, 4, 6);4;0,85;0,8658573322371245;0,6536752707612604;0,9404373809149243;0,7485812479594626;0,8825371016904757;0,955311962044802;0,4944402403862687;0,9348813566317811;0,9421803974947062;0,970632454919153;0,32954857506491303;0,9771419459753312;0,8579686148274979;0,9497911526118529;0,798359593926303;0,654498866283556;0,7139982920665037;0,6568210730991927;5,011;0,278
(1, 2, 5);3;0,8140000000000001;0,9060833555543465;0,8783802363457074;0,8672241215216174;0,6343565401105515;0,9366890148778559;0,7706981327533118;0,8384382391458205;0,9414459598836914;0,9495484966918962;0,9548492446566642;0,8800160949831924;0,959874067523454;0,9615038659447273;0,9458017414156559;0,5173013019857149;0,822751230970951;0,8757353573377086;0,8282833536665288;5,282;0,293
(1, 2, 5, 6);4;0,8;0,9394182074831323;0,9612786062566517;0,8216285793175766;0,536711333392108;0,9451816298899425;0,9080493486857322;0,9164691444006421;0,8671749333962598;0,8569612770473011;0,8846937577771767;0,3311198300776528;0,9688063663866078;0,8695254137096075;0,9585712961621145;0,8187786716013653;0,7085620533360907;0,7805596078838528;0,6908879697786765;4,951;0,275
(1, 2, 6);3;0,82;0,8836837363416628;0,8865147630213771;0,7548829188770173;0,4752076495364991;0,9363767150310042;0,8336175720270351;0,8503823200132357;0,8957625781541813;0,9108932230189697;0,9330326293642681;0,36114386975106466;0,9654333750832214;0,9383462711824176;0,9120873680159975;0,7498916845256008;0,7695007029940738;0,8815908152802107;0,6716223446986547;5,07;0,282
(1, 3, 4);3;0,9099999999999999;0,8687510698387522;0,9013554793915036;0,8277185906085814;0,4670922448504091;0,9506222329802212;0,8631731184525389;0,8509287695888037;0,9433128092788385;0,9554532943235983;0,9590539420984827;0,3762482085008541;0,9783070170840633;0,9374247138544245;0,9358840586306102;0,5803059982046858;0,648164940271126;0,6832766221620596;0,5010914592430585;4,638;0,258
(1, 3, 4, 5);4;0,8400000000000001;0,8399541299904234;0,735049349894717;0,886322311230854;0,4537965494033637;0,8110679737812226;0,9266664889593371;0,6469644705236189;0,9421073138150216;0,9390150621580393;0,9472475209979303;0,30636752983011784;0,9614866225150955;0,9526546081810179;0,9574687735941821;0,7314184000779537;0,7429153278270072;0,7775778994813947;0,6320783313990721;4,837;0,269
(1, 3, 4, 5, 6);5;0,8219999999999998;0,8367790166775322;0,7181516758696106;0,9563406776170901;0,758281072722118;0,8745355035665046;0,9498439054712724;0,6250577690372617;0,9235522279467827;0,9156092388907641;0,9265409838302768;0,26626461114155203;0,9712732142146923;0,894648554847635;0,9642672011370381;0,7253776780842832;0,6949364786841467;0,7348218615673481;0,6730620521029366;4,998;0,278
(1, 3, 4, 6);4;0,8800000000000001;0,8868602345272104;0,8046965516023632;0,9040128813117697;0,721824404265287;0,9346322995970396;0,9120638361536557;0,7618022885200475;0,9734957180953147;0,9762774470878691;0,9778062398471281;0,40058023265992226;0,9784849291495991;0,9457634706020842;0,9616692188221105;0,7540860481421147;0,7482191620027975;0,7877442106218177;0,6270849863270863;4,925;0,274
(1, 3, 5);3;0,8400000000000001;0,8234090373554872;0,7941970990111877;0,5869497635430786;0,5343825661204303;0,9635017943127294;0,8178260321280842;0,7747171888152503;0,9633519356148561;0,9670276352022932;0,9702721047453908;0,9507253688576922;0,9769777228329211;0,9366330913565293;0,9545294370575401;0,17589510951875706;0,8305946618357904;0,8874162499680995;0,8721733095456374;5,295;0,294
